model,params,WMAE,WMAE_1,WMAE_2,WMAE_3,NAE,NAE_1,NAE_2,NAE_3
LGBMRegressor,ne_150_nl_800_lr_0.1_ld_0.01_mcw_0.001_subs_1.0_cstree_0.8_sw_uniform,45.077807,0.086707,17.812438,0.006266,0.431596,0.290867,0.131970,0.008759
LGBMRegressor,ne_100_nl_100_lr_0.1_ld_0_mcw_1_subs_0.8_cstree_0.8_sw_uniform,49.322354,0.094597,19.531601,0.007058,0.477126,0.321765,0.145529,0.009832
LGBMRegressor,ne_100_nl_100_lr_0.1_ld_0_mcw_1_subs_1.0_cstree_0.8_sw_uniform,49.322354,0.094597,19.531601,0.007058,0.477126,0.321765,0.145529,0.009832
LGBMRegressor,ne_100_nl_100_lr_0.1_ld_0.01_mcw_1_subs_0.8_cstree_0.8_sw_uniform,49.470420,0.095060,19.548519,0.007019,0.481092,0.325244,0.146052,0.009795
LGBMRegressor,ne_100_nl_100_lr_0.1_ld_0.01_mcw_1_subs_1.0_cstree_0.8_sw_uniform,49.470420,0.095060,19.548519,0.007019,0.481092,0.325244,0.146052,0.009795
LGBMRegressor,ne_100_nl_400_lr_0.1_ld_0_mcw_1_subs_0.8_cstree_0.8_sw_uniform,46.747364,0.089681,18.514244,0.006644,0.443875,0.296965,0.137626,0.009285
LGBMRegressor,ne_100_nl_400_lr_0.1_ld_0_mcw_1_subs_1.0_cstree_0.8_sw_uniform,46.747364,0.089681,18.514244,0.006644,0.443875,0.296965,0.137626,0.009285
LGBMRegressor,ne_100_nl_400_lr_0.1_ld_0.01_mcw_1_subs_0.8_cstree_0.8_sw_uniform,46.453194,0.088926,18.460958,0.006572,0.445328,0.299602,0.136538,0.009189
LGBMRegressor,ne_100_nl_400_lr_0.1_ld_0.01_mcw_1_subs_1.0_cstree_0.8_sw_uniform,46.453194,0.088926,18.460958,0.006572,0.445328,0.299602,0.136538,0.009189
LGBMRegressor,ne_100_nl_800_lr_0.1_ld_0_mcw_1_subs_0.8_cstree_0.8_sw_uniform,45.479796,0.087040,18.089933,0.006389,0.441415,0.297735,0.134763,0.008917
LGBMRegressor,ne_100_nl_800_lr_0.1_ld_0_mcw_1_subs_1.0_cstree_0.8_sw_uniform,45.479796,0.087040,18.089933,0.006389,0.441415,0.297735,0.134763,0.008917
LGBMRegressor,ne_100_nl_800_lr_0.1_ld_0.01_mcw_1_subs_0.8_cstree_0.8_sw_uniform,45.802406,0.088129,18.088946,0.006374,0.439204,0.296158,0.134145,0.008901
LGBMRegressor,ne_100_nl_800_lr_0.1_ld_0.01_mcw_1_subs_1.0_cstree_0.8_sw_uniform,45.802406,0.088129,18.088946,0.006374,0.439204,0.296158,0.134145,0.008901
LGBMRegressor,ne_150_nl_100_lr_0.1_ld_0_mcw_1_subs_0.8_cstree_0.8_sw_uniform,48.532121,0.093093,19.209783,0.006972,0.464007,0.311400,0.142894,0.009714
LGBMRegressor,ne_150_nl_100_lr_0.1_ld_0_mcw_1_subs_1.0_cstree_0.8_sw_uniform,48.532121,0.093093,19.209783,0.006972,0.464007,0.311400,0.142894,0.009714
LGBMRegressor,ne_150_nl_100_lr_0.1_ld_0.01_mcw_1_subs_0.8_cstree_0.8_sw_uniform,48.680713,0.093562,19.220435,0.006958,0.473884,0.320855,0.143312,0.009716
